area,isi,sess,ori,true_pos,n_sample,val_acc,true_pos_train,n_sample_train,train_acc,C,bad_fit,ori_dist_id
LI,isi=6k,3,3,19.0,36,0.5277777777777778,23.83333333333334,35,0.6809523809523811,0.1,False,3
LI,isi=6k,3,2,20.0,36,0.5555555555555556,24.027777777777782,35,0.6865079365079366,0.1,False,2
LI,isi=6k,3,1,18.0,35,0.5142857142857142,21.571428571428573,34,0.6344537815126051,0.1,False,1
LI,isi=6k,1,7,15.0,33,0.45454545454545453,32.0,32,1.0,1.6,True,1
LI,isi=6k,1,6,27.0,34,0.7941176470588235,32.970588235294116,33,0.999108734402852,0.2,False,2
LI,isi=6k,1,5,24.0,36,0.6666666666666666,27.777777777777786,35,0.7936507936507938,0.1,False,3
LI,isi=6k,1,4,24.0,36,0.6666666666666666,30.194444444444446,35,0.8626984126984127,0.1,False,4
LI,isi=6k,1,3,21.0,35,0.6,29.599999999999998,34,0.8705882352941176,0.1,False,3
LI,isi=6k,1,2,24.0,35,0.6857142857142857,28.057142857142857,34,0.8252100840336134,0.1,False,2
LI,isi=6k,1,1,26.0,35,0.7428571428571429,30.942857142857143,34,0.9100840336134454,0.1,False,1
LI,isi=6k,0,7,19.0,35,0.5428571428571428,28.37142857142857,34,0.834453781512605,0.1,False,1
LI,isi=6k,0,6,25.0,35,0.7142857142857143,25.828571428571433,34,0.7596638655462186,0.1,False,2
LI,isi=6k,0,5,15.0,35,0.42857142857142855,34.0,34,1.0,1.6,True,3
LI,isi=6k,0,4,18.0,35,0.5142857142857142,34.0,34,1.0,0.4,True,4
LI,isi=6k,0,3,23.0,35,0.6571428571428571,29.2,34,0.8588235294117647,0.1,False,3
LI,isi=6k,0,2,26.0,34,0.7647058823529411,29.647058823529413,33,0.8983957219251337,0.1,False,2
LI,isi=6k,0,1,28.0,35,0.8,32.028571428571425,34,0.9420168067226891,0.1,False,1
LI,isi=250,13,7,27.0,48,0.5625,43.104166666666664,47,0.9171099290780141,0.4,False,1
LI,isi=250,13,6,24.0,46,0.5217391304347826,39.06521739130435,45,0.8681159420289856,0.1,False,2
LI,isi=250,13,5,28.0,53,0.5283018867924528,45.943396226415096,52,0.8835268505079826,0.2,False,3
