area,isi,sess,ori,cell_id,weight,bad_fit
V1,250,0,5,200720_003_2,0.8009327673788098,False
V1,250,0,5,200720_003_34,0.736421257183725,False
V1,250,0,5,200720_003_44,-1.5363555040098547,False
V1,250,0,5,200720_003_61,0.5925091924868027,False
V1,250,0,5,200720_003_66,-0.07295194660410953,False
V1,250,0,5,200720_003_7,-0.8674672637789715,False
V1,250,0,5,200720_003_70,-2.147708423452226,False
V1,250,0,5,200720_003_81,-0.3339886920092372,False
V1,250,0,5,200720_003_84,0.19629157150822607,False
V1,250,1,1,200728_003_18,-0.404059266711279,False
V1,250,1,1,200728_003_22,-1.2234236148055508,False
V1,250,1,1,200728_003_25,1.195123879298098,False
V1,250,1,1,200728_003_27,0.4554722993867415,False
V1,250,1,1,200728_003_4,0.3138345523392374,False
V1,250,1,1,200728_003_42,1.3554939838798923,False
V1,250,1,1,200728_003_48,0.015633095889261928,False
V1,250,1,1,200728_003_5,0.7798703399863598,False
V1,250,1,1,200728_003_51,-1.4236418355074294,False
V1,250,1,1,200728_003_8,0.7750446843936576,False
V1,250,1,2,200728_003_18,0.7239592968019224,False
V1,250,1,2,200728_003_22,2.7710614593408387,False
V1,250,1,2,200728_003_25,0.04936392285259039,False
V1,250,1,2,200728_003_27,0.42464190039751415,False
V1,250,1,2,200728_003_4,0.29797058271588317,False
V1,250,1,2,200728_003_42,0.12258984705387377,False
V1,250,1,2,200728_003_48,-0.689083966216586,False
V1,250,1,2,200728_003_5,1.1566173324696223,False
V1,250,1,2,200728_003_51,-0.48854688102134247,False
V1,250,1,2,200728_003_8,-0.8674470402990266,False
V1,250,1,3,200728_003_18,-0.16477500504828413,False
V1,250,1,3,200728_003_22,-0.9041695043746376,False
V1,250,1,3,200728_003_25,1.008768152174536,False
V1,250,1,3,200728_003_27,0.09487227230456341,False
V1,250,1,3,200728_003_4,0.8481079973113133,False
V1,250,1,3,200728_003_42,-0.2970669538356461,False
V1,250,1,3,200728_003_48,0.2956804324876643,False
V1,250,1,3,200728_003_5,0.9980013692550358,False
V1,250,1,3,200728_003_51,0.052809406624998445,False
V1,250,1,3,200728_003_8,-0.0419218295072632,False
V1,250,1,4,200728_003_18,-0.002193611800564099,False
V1,250,1,4,200728_003_22,-0.1473929351376313,False
V1,250,1,4,200728_003_25,1.108283399739637,False
V1,250,1,4,200728_003_27,0.3890855310884511,False
V1,250,1,4,200728_003_4,-0.4577836467355141,False
V1,250,1,4,200728_003_42,0.31450033202339966,False
